Date of rally,City,State
2020/6/20,Tulsa,OK
2020/6/23,Phoenix,AZ
2020/8/17,Mankato,MN
2020/8/17,Oshkosh,WI
2020/8/18,Yuma,AZ
2020/8/20,Old Forge,PA
2020/8/28,Londonderry,NH
2020/9/3,Latrobe,PA
2020/9/8,Winston-Salem,NC
2020/9/10,Freeland,MI
2020/9/12,Minden,NV
2020/9/13,Henderson,NV
2020/9/17,Mosinee,WI
2020/9/18,Bemidji,MN
2020/9/19,Fayetteville,NC
2020/9/21,Vandalia,OH
2020/9/21,Swanton,OH
2020/9/22,Moon Township,PA
2020/9/24,Jacksonville,FL
2020/9/25,Newport News,VA
2020/9/26,Middletown,PA
2020/9/30,Duluth,MN
2020/10/12,Sanford,FL
2020/10/13,Johnstown,PA
2020/10/14,Des Moines,IA
2020/10/15,Greenville,NC
2020/10/16,Ocala,FL
2020/10/16,Macon,GA
2020/10/17,Muskegon,MI
2020/10/17,Janesville,WI
2020/10/18,Carson City,NV
2020/10/19,Prescott,AZ
2020/10/19,Tucson,AZ
2020/10/20,Erie,PA
2020/10/21,Gastonia,NC
2020/10/23,The Villages,FL
2020/10/23,Pensacola,FL
2020/10/24,Lumberton,NC
2020/10/24,Circleville,OH
2020/10/24,Waukesha,WI
2020/10/25,Manchester,NH
2020/10/26,Allentown,PA
2020/10/26,Lititz,PA
2020/10/26,Martinsburg,PA
2020/10/27,Lansing,MI
2020/10/27,West Salem,WI
2020/10/27,Omaha,NE
2020/10/28,Bullhead City,AZ
2020/10/28,Goodyear,AZ
2020/10/29,Tampa,FL
2020/10/30,Waterford Township,MI
2020/10/30,Green Bay,WI
2020/10/30,Rochester,MN
2020/10/31,Newtown,PA
2020/10/31,Reading,PA
2020/10/31,Butler,PA
2020/10/31,Montoursville,PA
2020/11/1,Washington,MI
2020/11/1,Dubuque,IA
2020/11/1,Hickory,NC
2020/11/1,Rome,GA
2020/11/1,Opa-locka,FL
2020/11/2,Fayetteville,NC
2020/11/2,Scranton,PA
2020/11/2,Traverse City,MI
2020/11/2,Kenosha,WI
2020/11/2,Grand Rapids,MI
2020/12/5,Valdosta,GA
2021/1/4,Dalton,GA
2021/1/6,Washington,DC
